,ISBN,Book-Title,Book-Author,Year-Of-Publication,ID-Author
0,0195153448,Classical Mythology,Mark P. O. Morford,2002,748f7875338d4e51009a5398b6058476d69d292a4c4acb59131c384e45dfcfa1
1,0002005018,Clara Callan,Richard Bruce Wright,2001,a42ff6c71dfe7af9c1d14d7f4922a2274ea77cffe12119d518543567c1c944bc
2,0060973129,Decision in Normandy,Carlo D'Este,1991,feacc24e12371e419c54adf6993c682046367b0eb61fcc679a8eac8daf5e7d99
3,0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,c065669c53ea1ece426fa1737d27dd4f9e20d8326ead64106fd07e21b9f3d8c7
4,0393045218,The Mummies of Urumchi,E. J. W. Barber,1999,48225b1dd70c861d87e26e6ccfcd2f3646e608f417f96f3f12e495b6f447ecfc
5,0399135782,The Kitchen God's Wife,Amy Tan,1991,192ee42134d120b7cafd3c0ad7e67600207c115815c569387be999cf66b4ebf5
6,0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,e77a082caad5e2a60f545a3b728019927784e787da7c0c53e483d31ffe801d9e
7,0671870432,PLEADING GUILTY,Scott Turow,1993,4f0cca14479885606a23e5e3abc233b303b7295c40decb950837c20a1485f2a4
8,0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,2c8e59545410bf6b62765aab49051c6312ae0b082e5a6aef73238cf9c1c5e90c
9,074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,7755eccfb46e7e390337d86ec89e35380918d42c899092e1167c59fe3e90d12b
10,0771074670,Nights Below Station Street,David Adams Richards,1988,2aac2913b9ad4776da6e541a98ec8fe3bf812c5e3931fa7e54c798c6565b54f8
11,080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,7f9deb52c76df6048fd1e8e94a0594b227a65f6f9443c2300fc1fdfec71c11b1
12,0887841740,The Middle Stories,Sheila Heti,2004,05286bddf8442484184a81029c2c6efe74b30b0fe0d31398b95846cec8096b51
13,1552041778,Jane Doe,R. J. Kaiser,1999,0336fbed60ad190093e8f57acd117d3370a70ee836cb5ad32e2e8e44bd7fff08
14,1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,287f05c9aec404fafed0ee0d56343706e07f281bfc44cdb0271a3a79d4fd4972
15,1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,3e0129ebc034a0b6958dfd4b50ca60cf46fb54fb498261b856bd41681ef73ee9
16,1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,e747cb868bfc6dccf69b3fdcc4d6890a87f11f1621f2919f651a4a22cfa7f45d
17,1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,af6db3f4b832bd4e0a3aad7dc1437c7425438ded0ef685540ca28bf065908f8e
18,0440234743,The Testament,John Grisham,1999,df78095cfd0dc4483adcdc2abd93ced5034b064cb7524526deac0a7af3ee620e
19,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,9488913a49f87c07776026e2ea710bbe6e5b2d657183624e5e1b32d081f11628
20,0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,e9a85e7157b4aac59b81300128c89f0dcd3b4fb249bb683e87b9bd440ac15edf
21,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,7bc4c978c15c963a2d0b90f5c3035e42f568cac5c7a2ebbfa35c2e10b585495f
22,1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,016cc4fe690f1539d7ef147f97869a50f55e0e089c712688f9db32eede232d53
23,0061076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,81e82e8990c60df27ba38c666c6ab9d1b17e2762341d32198c4b1c6df5a5cf0c
24,0439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,5787505331071c16055f49bc9b205c54e17df32cbea8867693ce50215ce20714
25,0689821166,Flood : Mississippi 1927,Kathleen Duey,1998,8148a326c975d77508922c7e3db88b64738b3ea2798292a1741f3b904d8c0e5a
26,0971880107,Wild Animus,Rich Shapero,2004,ebadf441becaa202c427fad5bd4f7376edcf0863fa0e6a7ebeaffd44b9a4db12
27,0345402871,Airframe,Michael Crichton,1997,8f3fa6211d0fe7013d96800c46001f4956d9b3c19c97be04e555869f44168a7d
28,0345417623,Timeline,MICHAEL CRICHTON,2000,2eb4a664ced1261337835514ad5ca05a90d507fad878958fa40bb357d4f7aff2
29,0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,d09727efdd38b08b056798ab6cb37bddf876b1104befc3ec089e377a9737cc8d
30,0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,42bc19a2f18f17fc6b29d93e9e25496a7e654d59ba6ec01c5e331e461f4a678f
31,0425163091,Chocolate Jesus,Stephan Jaramillo,1998,9e2d19a14db9dbbec9b6da1df1d6e7733177f2aa7758577dc2624001965e2726
32,3404921038,Wie Barney es sieht.,Mordecai Richler,2002,05040a003c68e8100fe10f395639d7075d688e9323d72e55c1c692bedc808828
33,3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,a780de837d89897081b6511fe156d9cfe5c5a9df4f4ff6b756e2c5260b29f595
34,3442410665,Sturmzeit. Roman.,Charlotte Link,1991,5a6b0674a1069ce90a202a7a89652f021a9a17783218c292792eb9ce4d5c89d4
35,3442446937,Tage der Unschuld.,Richard North Patterson,2000,53442109713cd5673a316d6c28ec41f20396939944d2007e30b2352d112acda4
36,0375406328,Lying Awake,Mark Salzman,2000,df46e55948caaeac95a1e84f7caef7bcbf78076e8893f481f265b4ca100d6eb7
37,0446310786,To Kill a Mockingbird,Harper Lee,1988,fe5b13df47dae88388008ddbd12a1b3494a962f7938c811d0a3554f416f08b37
38,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,e49a1291626613cda8ab68d3dcc2a1474b8e3d4f2daeb4c6f15b711a2d5a594d
39,0060168013,Pigs in Heaven,Barbara Kingsolver,1993,f381d6a4a26413f5b5bf98fbe7d06880038c91910842b63a1f9aac917c6d802d
40,038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,5cac3ce7f328b6ae54788a248eced83e12aa236899fe1be166c89cec171279d3
41,055321215X,Pride and Prejudice,Jane Austen,1983,1faf378f951e654880b0b895248afd5975fcb5ce085220331446e83a0796cfd0
42,067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,4e45536c1cd7456bc151a15f27f9fccd64aa83736ed27a92998ef606dc1ce620
43,0061099686,Downtown,Anne Rivers Siddons,1995,e65c8d12fcfa77d3ae9fc9684e6462542b17edbf46461a5d44d9f29e2ea78add
44,0553582909,Icebound,Dean R. Koontz,2000,b9262167491285753f1b60c096e01b0bb9af378e37d1062a22d43013a24b7b3c
45,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,6f93b563188d740b28aef3ed1a8d64e657a7b425132d55581507099a5a0c3a1b
46,0553582747,From the Corner of His Eye,Dean Koontz,2001,bb190e9b2b597a3789683be0eac9f9b6123c04c271d808daf32ce35f9089a072
47,0425182908,Isle of Dogs,Patricia Cornwell,2002,f028356d2fd978105e38106a325f0ec29c1b94b0ab3b93229e8465079764442d
48,042518630X,Purity in Death,J.D. Robb,2002,1760335997fd894811d26bf4808867183da7e768a663d1af88692b060dec836e
49,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,6c3b1676833e51d1ab564bea20d0b7f0778ba3dc7debc0423f3c2e02c79b6d60
50,0812523873,Proxies,Laura J. Mixon,1999,a34be3728c12348eefce9653fd26261ea60f07f1202315456894d6cb38d0e56d
51,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,051817bd683fa7d3ed165c65d999808d9a6e6d0f26efd5f4de08dd5bdbe8eb72
52,0440225701,The Street Lawyer,JOHN GRISHAM,1999,083f3f0619b1347ef9e6c5061ff1e936e87b5d26cf3761df45a8085ce3e7e593
53,0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,574d88f18a40681aa9f3710a79c488b4809ee1b563ee3e6f9ea9f0958e1b559f
54,0156047624,All the King's Men,Robert Penn Warren,1982,1912ee9a306f9f6a022d41f62e6d3f3ffb5ab5627a5296958c79f6c879f91102
55,0245542957,Pacific Northwest,Hans Johannes Hoefer,1985,9f37a8426b107232977c9258e7946549243f875610493446de51013b3ee1f8a4
56,0380715899,A Soldier of the Great War,Mark Helprin,1992,6506579531f60fff2535c2669518abd8cd45535cf73b555e120202334e6ee7da
57,0553280333,Getting Well Again,O. Carol Simonton Md,1992,5f845481d5a36a7e52ac00e63f4d16efad06fe016b1f9158f267b1f5b1a30df9
58,0961769947,Northwest Wines and Wineries,Chuck Hill,1993,1a718c6c16217e94252d6f6b4c75ba91ff5c20ab9cfe6299954072de6dc079b3
59,0964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,3e0ee6c944c97cc649b82acf36fb272a2412acd5cb15534a6c850119e5d03944
60,0671623249,LONESOME DOVE,Larry McMurtry,1986,a4912f3e388964c6767fb5092ceaf7c2c7f5a4c61088bce876307ab27eb54ddf
61,0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,4f03c67077e0bc0b4ed43af2e34c6eef1453919de1b600e68f6aa98d9a0c1cf1
62,0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,4f03c67077e0bc0b4ed43af2e34c6eef1453919de1b600e68f6aa98d9a0c1cf1
63,2070423204,Lieux dits,Michel Tournier,2002,5da4dd80e50562eb53e9750158fb867ff9c74fa8a6c858220b9f92897fb93ee5
64,0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,dc6a180a7d4c7db38d87aa11f635b763e74ad730df1eba0aba4ced202381a27e
65,0394743741,The yawning heights,Aleksandr Zinoviev,1980,95c0e1f83cb3d61d4e9cd704f87b441fc1ea6d27799d95236d2c4e82812cad4f
66,042511774X,Breathing Lessons,Anne Tyler,1994,77e19b164241998fa8fdb8cebdad3e7d6577071fde614aaabab87fb7e9f8e870
67,0804106304,The Joy Luck Club,Amy Tan,1994,192ee42134d120b7cafd3c0ad7e67600207c115815c569387be999cf66b4ebf5
68,1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,b77c5f972cc53c789e869038e0eb56bbbb3b27def54287a753472bf1c98853ef
69,0312970242,The Angel Is Near,Deepak Chopra,2000,6e48ff07f8d04ac2494e82aa12875642122bc7808f89cc75baf19c9378ef7a6d
70,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,b5781e8a60c699290272dcb09fa7c1363867ffdf130e9fcb08345bc2d169b487
71,1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,42e0af9e0fe757f52b8902754a6085968c60713d86a0551cde52a6799b3c7399
72,0060938412,The Accidental Virgin,Valerie Frankel,2003,f19fdac5918f67d38635d6ab42bb654b6de5f439d986cca501da4a94a4a19428
73,0140067477,The Tao of Pooh,Benjamin Hoff,1983,f8ca8d50228c431176b925c775137cc848dd50e2a3793a90668382f0b1326b56
74,0345465083,Seabiscuit,LAURA HILLENBRAND,2003,e49a1291626613cda8ab68d3dcc2a1474b8e3d4f2daeb4c6f15b711a2d5a594d
75,0451625889,The Prince,Niccolo Machiavelli,1952,37b3107337bb59f6831a336518d6b8ca28968ef535bef1a2a3cb1640209d9af9
76,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,8cf5ffbc1814ace192cd4cf46e6949faa6e32ee9333e2a76e3e01eb347d0280b
77,0441783589,Starship Troopers,Robert A. Heinlein,1987,56db239d3f2e58111b334004458803ee8a736a89ba07cf9f672cd55e1e5dbfdf
78,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,5e9c7b585ca4d56e1e374d0686b76eb20bbc54b0eef28f162477d07e611e7a9d
79,1569871213,Black Beauty (Illustrated Classics),Anna Sewell,1995,9fb39d148566a27ce6dfe30616a1ea5a329116a3a76f62ed54ee594349c6c3f2
80,0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,6b2f5fd132e27e10f8b40c27969a7c3381017ae9f1ba2b022f7c4477f691ec09
81,0966986105,Prescription for Terror,Sandra Levy Ceren,1999,83d28aea07721579e29e88281574da12087da09180c6998e27ecb5f0799134e8
82,087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,b0a1c7984972a74fbc0ecb6445190ebc90034406d13a8987461e8babd5133fc6
83,0340767936,Turning Thirty,Mike Gayle,2000,7e862b78cda722ac6d03fd3f543b54e8a899cfd27c0d630511e229a2156a3382
84,0743403843,Decipher,Stel Pavlou,2002,47d366a3f6380a420efdecc430c95f9b7ee8d6752939358d19c7ffd1f4db7612
85,0060930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,cb820a1e4beca92387082e3ab896e233500781a1debfa3cce6535890f6d5ebe8
86,0060177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,028b670071ef356e101a43d207d62b8d463fd0f3a2578ced1629ad87c958f936
87,0071416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,98d3323215ba3a1ad34807b1a4676533f42459cf8938de56c349061c4a60a76e
88,0375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,c95331c94f4f92007aced1ce25df204d0df9e92df4d07db26ab41b7ab537c181
89,0553062042,Daybreakers Louis Lamour Collection,Louis Lamour,1981,b54231ccace173dfdb2c60ef839a055d3544d35ee5933e0af2b590bf4551a77c
90,0316769487,The Catcher in the Rye,J.D. Salinger,1991,51b54c89055598d5386b68f13a96c1eb0a12b932596372d9d9fa5ed12e1295bf
91,8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,de197a85ec69095fa3ea914076ac63c8d28430924ab3542f760d046ad3b8abb6
92,8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,de197a85ec69095fa3ea914076ac63c8d28430924ab3542f760d046ad3b8abb6
93,8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,de197a85ec69095fa3ea914076ac63c8d28430924ab3542f760d046ad3b8abb6
94,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,b186d9f08b6eeaa35ed20e28234318de189aece4d9cc1cd203e8fb39c2d6327b
95,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,6f93b563188d740b28aef3ed1a8d64e657a7b425132d55581507099a5a0c3a1b
96,0312252617,Fast Women,Jennifer Crusie,2001,9c7d087eb586dd29ff02c8e6af91b6883012c8256287af30dc9bd38c7c6aefb7
97,0312261594,Female Intelligence,Jane Heller,2001,03e275b72f9bfe9c870f32fc6679fd300b6c08363a96d4845e5c0f66a83edb8e
98,0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,6624835bfb522ad5c72fd92b837585d9cb805a64202d9682cd3104d9f7342f74
99,0316973742,The Gospel of Judas: A Novel,Simon Mawer,2002,511233de8d49b0635d4bd4a95e9cf7da08a08b920a461a599cd4e0bb9343dd9d
100,0385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,1987,1c7985bf2f5b36b6cad01bc087ecb22600328692b08d2756b834b75530c21556
101,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,6cb9bce7c226fc7441d41ec4e41f71bdd88285afdad70e4533ae9541c7f86902
102,0451166892,The Pillars of the Earth,Ken Follett,1996,b33177ed2079bd563c173450f014394467585c971dcb0c02bdec2cd904418370
103,0553347594,McDonald's: Behind the Arches,John F. Love,1995,8127b547cf42cbe2f576b7b3aa145a8f82eee677898c88197c8dba726a1143fd
104,0671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,66aa2afabed3619a24a14f48f0750078d86f6e95deb936ff249b7fec1f61be2f
105,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,496900116d3129a069d6ec3b7d3c6a525946fcdea1f0725d3794947193664c1c
106,0684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,1996,8b37fec1922a7d00e96c1776c108fe174c8fa7e998b8317f2daeef3eaa884488
107,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,e7bbfa8f9a38f3e7a68983e6e75eac1a7b69e4588b81c10364926658a5c32293
